coursename,courselevel
"Introduction to Biology", 100
"Introduction to Chemistry", 100
"Introduction to Climate and Sustainability", 100
"Introduction to Cultural Analysis", 100
"Introduction to Environmental Sciences", 100
"Introduction to Film Studies", 100
"Introduction to Geological Sciences", 100
"Introduction to Health and Wellbeing", 100
"Introduction to Literature", 100
"Introduction to Media Studies", 100
"Introduction to Philosophy I", 100
"Introduction to Philosophy II", 100
"Introduction to Physics", 100
"Introduction to Public Health", 100
"Introduction to the Energy Transition", 100
